"";"pc4";"woz";"urb";"gemeente2020";"COROP"
"1";"1011";509;1;"0363";"23"
"2";"1012";480;1;"0363";"23"
"3";"1013";471;1;"0363";"23"
"4";"1014";731;1;"0363";"23"
"5";"1015";532;1;"0363";"23"
"6";"1016";606;1;"0363";"23"
"7";"1017";734;1;"0363";"23"
"8";"1018";494;1;"0363";"23"
"9";"1019";531;1;"0363";"23"
"10";"1021";333;1;"0363";"23"
"11";"1022";321;1;"0363";"23"
"12";"1023";421;1;"0363";"23"
"13";"1024";329;1;"0363";"23"
"14";"1025";333;1;"0363";"23"
"15";"1026";794;5;"0363";"23"
"16";"1027";774;5;"0363";"23"
"17";"1028";828;5;"0363";"23"
"18";"1031";379;1;"0363";"23"
"19";"1032";369;1;"0363";"23"
"20";"1033";298;2;"0363";"23"
"21";"1034";339;1;"0363";"23"
"22";"1035";414;2;"0363";"23"
"23";"1036";566;1;"0363";"23"
"24";"1037";-99997;5;"0363";"23"
"25";"1041";733;5;"0363";"23"
"26";"1042";207;5;"0363";"23"
"27";"1043";191;2;"0363";"23"
"28";"1046";468;5;"0363";"23"
"29";"1047";-99997;5;"0363";"23"
"30";"1051";410;1;"0363";"23"
"31";"1052";433;1;"0363";"23"
"32";"1053";422;1;"0363";"23"
"33";"1054";570;1;"0363";"23"
"34";"1055";344;1;"0363";"23"
"35";"1056";396;1;"0363";"23"
"36";"1057";397;1;"0363";"23"
"37";"1058";479;1;"0363";"23"
"38";"1059";380;1;"0363";"23"
"39";"1060";461;1;"0363";"23"
"40";"1061";363;1;"0363";"23"
"41";"1062";293;1;"0363";"23"
"42";"1063";285;1;"0363";"23"
"43";"1064";302;1;"0363";"23"
"44";"1065";320;1;"0363";"23"
"45";"1066";435;1;"0363";"23"
"46";"1067";349;1;"0363";"23"
"47";"1068";293;1;"0363";"23"
"48";"1069";315;1;"0363";"23"
"49";"1071";1013;1;"0363";"23"
"50";"1072";446;1;"0363";"23"
"51";"1073";444;1;"0363";"23"
"52";"1074";465;1;"0363";"23"
"53";"1075";744;1;"0363";"23"
"54";"1076";491;1;"0363";"23"
"55";"1077";1183;1;"0363";"23"
"56";"1078";551;1;"0363";"23"
"57";"1079";459;1;"0363";"23"
"58";"1081";548;1;"0363";"23"
"59";"1082";492;1;"0363";"23"
"60";"1083";373;1;"0363";"23"
"61";"1086";528;3;"0363";"23"
"62";"1087";536;2;"0363";"23"
"63";"1091";441;1;"0363";"23"
"64";"1092";457;1;"0363";"23"
"65";"1093";424;1;"0363";"23"
"66";"1094";387;1;"0363";"23"
"67";"1095";375;1;"0363";"23"
"68";"1096";428;1;"0363";"23"
"69";"1097";398;1;"0363";"23"
"70";"1098";499;1;"0363";"23"
"71";"1101";-99997;3;"0363";"23"
"72";"1102";214;1;"0363";"23"
"73";"1103";298;1;"0363";"23"
"74";"1104";269;1;"0363";"23"
"75";"1105";-99997;2;"0363";"23"
"76";"1106";274;2;"0363";"23"
"77";"1107";275;2;"0363";"23"
"78";"1108";264;2;"0363";"23"
"79";"1109";401;5;"0363";"23"
"80";"1111";384;1;"0384";"23"
"81";"1112";335;1;"0384";"23"
"82";"1113";425;3;"0384";"23"
"83";"1114";510;3;"0437";"23"
"84";"1115";408;2;"0437";"23"
"85";"1117";-99997;5;"0394";"23"
"86";"1118";-99997;5;"0394";"23"
"87";"1119";-99997;5;"0394";"23"
"88";"1121";467;3;"0415";"23"
"89";"1127";731;5;"0415";"23"
"90";"1131";307;2;"0385";"23"
"91";"1132";376;3;"0385";"23"
"92";"1135";373;3;"0385";"23"
"93";"1141";367;4;"0852";"23"
"94";"1145";656;5;"0852";"23"
"95";"1151";591;5;"0852";"23"
"96";"1153";749;5;"0852";"23"
"97";"1154";660;5;"0852";"23"
"98";"1156";281;5;"0852";"23"
"99";"1161";353;3;"0394";"23"
"100";"1165";397;4;"0394";"23"
"101";"1171";464;2;"0394";"23"
"102";"1175";440;4;"0394";"23"
