term	estimate
(Intercept)	-0,286513352324863
geslachtvrouwelijk	-0,430578574174847
bst_nllangzaam	1,615501748309820
zin2wM	-0,039769841489009
zin2w+	-0,546754548690739
pop6M	-0,563001735283379
pop6+	-0,673103495855247
taalomgmatig	-0,355190827810218
taalomgvoldoende	-0,394313244380392
educc_mo3_vmbopraktijk	-0,308525434208786
educc_mo4_vmbomavo	-0,574507061660560
educc_mo5_mbo	-0,671761242576409
educc_mo6_havovwo	-0,715930877000559
educc_mo7_hbo	-0,915381431780554
educc_mo8_womaster	-0,842333631212232
educc_fa3_vmbopraktijk	0,012360812811356
educc_fa4_vmbomavo	-0,184655345553734
educc_fa5_mbo	-0,201956567020010
educc_fa6_havovwo	-0,306151692739636
educc_fa7_hbo	-0,317153473652155
educc_fa8_womaster	-0,223275324461918
