term	estimate	std.error	statistic	df	p.value
(Intercept)	-4,1145592167	0,5467902869	-7,5249310661	1017083,1956002200	0,0000000000
N_vooraf_sga1	0,1999579561	0,0796222795	2,5113317196	1088775,9072350900	0,0120278051
N_vooraf_sga2	0,2592363877	0,1300169043	1,9938667901	692291,2363458870	0,0461670057
N_vooraf_sga3	0,0999326257	0,2726142520	0,3665715383	1025952,5277807500	0,7139387172
N_vooraf_sga4	0,5598886340	0,4602720381	1,2164298234	1074735,5217869300	0,2238214960
N_vooraf_sga5+	-9,2707334024	55,5602680470	-0,1668590475	1088775,9072350900	0,8674809877
N_vooraf_sganvt	-0,3791546675	0,1516835963	-2,4996418639	799072,8392625530	0,0124320902
vooraf_sganee	-0,3472065388	0,0857178599	-4,0505740467	1066875,6020108300	0,0000510957
vooraf_sganvt	NA	NA	NA	NA	NA
geslmannelijk	0,1575476427	0,0216382664	7,2809734217	1088775,9072350900	0,0000000000
lft_concep	0,0352419498	0,0030045689	11,7294530974	18264,3461396573	0,0000000000
COROP2020_mo02	0,7515876003	0,2044546399	3,6760603745	881,7388328158	0,0002511793
COROP2020_mo03	0,0632972959	0,1427203635	0,4435057081	2778,7776383229	0,6574345196
COROP2020_mo04	-0,0229423666	0,1490467159	-0,1539273538	2173,4852772311	0,8776813061
COROP2020_mo05	-0,0914510308	0,1773632027	-0,5156144530	108662,1637653330	0,6061247628
COROP2020_mo06	0,0460145349	0,1670863792	0,2753936920	189,2433460345	0,7833142503
COROP2020_mo07	0,2068797824	0,1718775563	1,2036462869	150,3779545686	0,2306176553
COROP2020_mo08	0,2394408586	0,1613763008	1,4837423925	1258,0878594730	0,1381277480
COROP2020_mo09	0,1054832615	0,1762040851	0,5986425422	2101,8418690607	0,5494757882
COROP2020_mo10	0,1487374994	0,1414673857	1,0513907400	2355,1318733697	0,2931870322
COROP2020_mo11	0,1220053358	0,1753218139	0,6958936431	366,8504131632	0,4869360594
COROP2020_mo12	0,0267136273	0,1380996980	0,1934372610	915,3848236701	0,8466594489
COROP2020_mo13	0,0853581101	0,1360639771	0,6273380497	1373,9799041438	0,5305419010
COROP2020_mo14	0,0331600821	0,1469670515	0,2256293623	2636,9947442005	0,8215071865
COROP2020_mo15	-0,0412354699	0,1369525717	-0,3010930674	1779,8377645940	0,7633786971
COROP2020_mo16	0,2096125876	0,1541723039	1,3595995020	1880,8828505656	0,1741196592
COROP2020_mo17	-0,0700051682	0,1303373001	-0,5371077055	4386,7244162336	0,5912204594
COROP2020_mo18	-0,3039813690	0,1501452758	-2,0245816420	2538,6302238187	0,0430148406
COROP2020_mo19	-0,2364798256	0,1660477830	-1,4241673174	811,2508246283	0,1547825678
COROP2020_mo20	-0,0826738138	0,1645182299	-0,5025206864	9482,6644170431	0,6153129742
COROP2020_mo21	0,0613671622	0,1569467631	0,3910062303	1880,2728557458	0,6958369300
COROP2020_mo22	0,1581043235	0,1585393105	0,9972562834	22210,1565810367	0,3186509921
COROP2020_mo23	-0,1112619554	0,1313687977	-0,8469435461	3538,4268995641	0,3970838664
COROP2020_mo24	-0,1873136864	0,1611877077	-1,1620841884	20612,0141968039	0,2452147248
COROP2020_mo25	-0,2182925484	0,1487090608	-1,4679169328	1245,6315291779	0,1423792417
COROP2020_mo26	0,0049273286	0,1351186298	0,0364666859	1133,4914111552	0,9709166628
COROP2020_mo27	0,0184287668	0,1588611257	0,1160055154	1383,3645121649	0,9076650077
COROP2020_mo28	-0,0641861292	0,1486808270	-0,4317041441	3414,1127094002	0,6659837148
COROP2020_mo29	-0,0748618160	0,1298017914	-0,5767394668	2764,0536366025	0,5641624312
COROP2020_mo30	-0,0256879819	0,1462955018	-0,1755896906	601,5615723434	0,8606753902
COROP2020_mo31	-1,3207420122	0,4656043919	-2,8366184582	132553,0223295280	0,0045600972
COROP2020_mo32	-0,3830490679	0,1653054052	-2,3172204653	349,2118116937	0,0210695099
